Column0,ID,Name,Age,Photo,Nationality,Flag,Overall,Potential,Club,Club_Logo,Value,Wage,Special,Preferred_Foot,International_Reputation,Weak_Foot,Skill_Moves,Work_Rate,Body_Type,Real_Face,Position,Jersey_Number,Joined,Loaned_From,Contract_Valid_Until,Height,Weight,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB,Crossing,Finishing,HeadingAccuracy,ShortPassing,Volleys,Dribbling,Curve,FKAccuracy,LongPassing,BallControl,Acceleration,SprintSpeed,Agility,Reactions,Balance,ShotPower,Jumping,Stamina,Strength,LongShots,Aggression,Interceptions,Positioning,Vision,Penalties,Composure,Marking,StandingTackle,SlidingTackle,GKDiving,GKHandling,GKKicking,GKPositioning,GKReflexes,Release_Clause,Column89
1,20801,Cristiano Ronaldo,33,https://cdn.sofifa.org/players/4/19/20801.png,Portugal,https://cdn.sofifa.org/flags/38.png,94,94,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤77M,¤405K,2228,Right,5,4,5,High/ Low,C. Ronaldo,Yes,ST,7,"Jul 10, 2018",,2022,6'2,183lbs,91+3,91+3,91+3,89+3,90+3,90+3,90+3,89+3,88+3,88+3,88+3,88+3,81+3,81+3,81+3,88+3,65+3,61+3,61+3,61+3,65+3,61+3,53+3,53+3,53+3,61+3,84,94,89,81,87,88,81,76,77,94,89,91,87,96,70,95,95,88,79,93,63,29,95,82,85,95,28,31,23,7,11,15,14,11,¤127.1M
15,211110,P. Dybala,24,https://cdn.sofifa.org/players/4/19/211110.png,Argentina,https://cdn.sofifa.org/flags/52.png,89,94,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤89M,¤205K,2092,Left,3,3,4,High/ Medium,Normal,Yes,LF,21,"Jul 1, 2015",,2022,5'10,165lbs,83+3,83+3,83+3,87+3,86+3,86+3,86+3,87+3,87+3,87+3,87+3,86+3,79+3,79+3,79+3,86+3,62+3,58+3,58+3,58+3,62+3,56+3,45+3,45+3,45+3,56+3,82,84,68,87,88,92,88,88,75,92,87,83,91,86,85,82,75,80,65,88,48,32,84,87,86,84,23,20,20,5,4,4,5,8,¤153.5M
24,138956,G. Chiellini,33,https://cdn.sofifa.org/players/4/19/138956.png,Italy,https://cdn.sofifa.org/flags/27.png,89,89,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤27M,¤215K,1841,Left,4,3,2,Medium/ High,Normal,Yes,LCB,3,"Jul 1, 2005",,2020,6'2,187lbs,58+3,58+3,58+3,54+3,55+3,55+3,55+3,54+3,54+3,54+3,54+3,56+3,60+3,60+3,60+3,56+3,74+3,76+3,76+3,76+3,74+3,77+3,86+3,86+3,86+3,77+3,58,33,83,59,45,58,60,31,59,57,63,75,54,82,55,78,89,65,89,49,92,88,28,50,50,84,93,93,90,3,3,2,4,3,¤44.6M
64,191043,Alex Sandro,27,https://cdn.sofifa.org/players/4/19/191043.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,86,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤36.5M,¤160K,2198,Left,3,3,3,High/ High,Normal,Yes,LB,12,"Aug 21, 2015",,2020,5'11,176lbs,74+3,74+3,74+3,77+3,75+3,75+3,75+3,77+3,76+3,76+3,76+3,78+3,77+3,77+3,77+3,78+3,83+3,81+3,81+3,81+3,83+3,83+3,81+3,81+3,81+3,83+3,84,55,76,81,68,80,78,59,71,81,83,86,79,84,78,80,79,92,79,72,82,82,70,70,60,82,81,84,84,7,7,9,12,5,¤60.2M
65,190483,Douglas Costa,27,https://cdn.sofifa.org/players/4/19/190483.png,Brazil,https://cdn.sofifa.org/flags/54.png,86,86,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤46.5M,¤175K,2111,Left,3,3,5,High/ Medium,Normal,Yes,LM,11,"Jul 1, 2018",,2022,5'8,154lbs,77+3,77+3,77+3,85+3,83+3,83+3,83+3,85+3,84+3,84+3,84+3,84+3,78+3,78+3,78+3,84+3,69+3,63+3,63+3,63+3,69+3,64+3,53+3,53+3,53+3,64+3,84,67,50,84,76,92,84,78,68,91,97,93,93,84,91,86,61,78,63,80,55,48,76,84,77,84,45,38,34,13,15,9,12,5,¤76.7M
70,184344,L. Bonucci,31,https://cdn.sofifa.org/players/4/19/184344.png,Italy,https://cdn.sofifa.org/flags/27.png,86,86,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤30M,¤160K,1978,Right,3,3,2,Low/ High,Lean,Yes,RCB,19,"Aug 2, 2018",,2023,6'3,187lbs,65+3,65+3,65+3,63+3,65+3,65+3,65+3,63+3,68+3,68+3,68+3,65+3,74+3,74+3,74+3,65+3,74+3,82+3,82+3,82+3,74+3,76+3,84+3,84+3,84+3,76+3,44,48,86,77,58,69,56,61,85,75,57,65,60,84,52,74,85,71,83,65,82,90,38,74,70,86,90,86,80,2,2,3,2,4,¤49.5M
72,180206,M. Pjani?,28,https://cdn.sofifa.org/players/4/19/180206.png,Bosnia Herzegovina,https://cdn.sofifa.org/flags/8.png,86,86,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤44M,¤180K,2182,Right,3,4,3,Medium/ Medium,Normal,Yes,CDM,5,"Jul 1, 2016",,2023,5'10,159lbs,72+3,72+3,72+3,79+3,78+3,78+3,78+3,79+3,81+3,81+3,81+3,80+3,83+3,83+3,83+3,80+3,78+3,80+3,80+3,80+3,78+3,76+3,73+3,73+3,73+3,76+3,80,60,60,89,72,86,86,92,85,89,66,66,77,84,79,78,61,78,66,82,70,78,70,88,79,86,75,74,70,7,7,13,7,8,¤72.6M
73,177509,M. Benatia,31,https://cdn.sofifa.org/players/4/19/177509.png,Morocco,https://cdn.sofifa.org/flags/129.png,86,86,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤30M,¤160K,1803,Right,3,3,2,Medium/ High,Normal,Yes,CB,4,"Aug 26, 2014",,2020,6'2,207lbs,61+3,61+3,61+3,57+3,58+3,58+3,58+3,57+3,57+3,57+3,57+3,60+3,62+3,62+3,62+3,60+3,73+3,76+3,76+3,76+3,73+3,75+3,84+3,84+3,84+3,75+3,45,47,83,65,44,64,34,27,65,64,65,75,59,82,53,66,85,69,91,24,86,86,38,47,41,82,89,87,85,7,4,8,7,11,¤49.5M
92,186153,W. Szcz?sny,28,https://cdn.sofifa.org/players/4/19/186153.png,Poland,https://cdn.sofifa.org/flags/37.png,85,87,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤32M,¤125K,1270,Right,3,3,1,Medium/ Medium,Lean,Yes,GK,1,"Jul 19, 2017",,2021,6'5,198lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,16,32,14,11,16,14,36,22,51,47,55,82,51,15,71,45,65,14,40,15,14,48,18,65,20,13,12,85,81,71,85,87,¤55.2M
99,179846,S. Khedira,31,https://cdn.sofifa.org/players/4/19/179846.png,Germany,https://cdn.sofifa.org/flags/21.png,85,85,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤33M,¤160K,2154,Right,3,4,2,High/ High,Normal,Yes,RCM,6,"Jul 1, 2015",,2021,6'2,198lbs,77+3,77+3,77+3,76+3,78+3,78+3,78+3,76+3,79+3,79+3,79+3,77+3,82+3,82+3,82+3,77+3,78+3,83+3,83+3,83+3,78+3,77+3,81+3,81+3,81+3,77+3,72,72,76,85,78,81,68,68,82,84,54,60,55,87,54,82,68,78,87,78,82,86,79,82,69,84,80,83,76,11,9,5,15,8,¤54.5M
103,170890,B. Matuidi,31,https://cdn.sofifa.org/players/4/19/170890.png,France,https://cdn.sofifa.org/flags/18.png,85,85,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤26M,¤145K,2196,Left,3,2,2,High/ High,Lean,Yes,LM,14,"Aug 18, 2017",,2020,5'11,165lbs,74+3,74+3,74+3,76+3,76+3,76+3,76+3,76+3,77+3,77+3,77+3,78+3,79+3,79+3,79+3,78+3,83+3,83+3,83+3,83+3,83+3,82+3,81+3,81+3,81+3,82+3,75,64,68,83,72,78,65,52,77,79,79,77,83,84,79,78,84,94,76,70,86,86,72,76,56,82,85,84,86,8,11,5,10,14,¤42.9M
128,198009,M. Perin,25,https://cdn.sofifa.org/players/4/19/198009.png,Italy,https://cdn.sofifa.org/flags/27.png,84,89,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤29.5M,¤105K,1254,Right,2,3,1,Medium/ Medium,Lean,No,GK,22,"Jul 1, 2018",,2022,6'2,170lbs,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,12,33,19,19,15,13,31,23,57,56,70,79,30,23,75,30,52,17,25,19,12,44,21,65,20,12,19,81,85,71,79,90,¤50.9M
129,193082,J. Cuadrado,30,https://cdn.sofifa.org/players/4/19/193082.png,Colombia,https://cdn.sofifa.org/flags/56.png,84,84,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤29.5M,¤150K,2163,Right,3,3,5,High/ Medium,Lean,Yes,RAM,11,"Feb 2, 2015",,2020,5'10,159lbs,76+3,76+3,76+3,82+3,81+3,81+3,81+3,82+3,81+3,81+3,81+3,81+3,77+3,77+3,77+3,81+3,76+3,72+3,72+3,72+3,76+3,75+3,69+3,69+3,69+3,75+3,80,67,58,80,70,90,78,69,69,85,89,93,91,80,82,84,75,78,61,80,78,62,78,76,65,80,63,70,74,5,5,13,6,9,¤48.7M
139,181783,M. Mand¸uki?,32,https://cdn.sofifa.org/players/4/19/181783.png,Croatia,https://cdn.sofifa.org/flags/10.png,84,84,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤25M,¤160K,2106,Right,3,3,3,High/ High,Lean,Yes,ST,17,"Jul 1, 2015",,2020,6'3,187lbs,81+3,81+3,81+3,76+3,78+3,78+3,78+3,76+3,76+3,76+3,76+3,76+3,75+3,75+3,75+3,76+3,71+3,72+3,72+3,72+3,71+3,71+3,72+3,72+3,72+3,71+3,72,84,90,75,86,76,64,49,67,77,67,73,67,86,53,80,85,83,85,60,88,66,90,74,76,80,59,64,64,10,8,5,8,15,¤41.3M
152,137186,A. Barzagli,37,https://cdn.sofifa.org/players/4/19/137186.png,Italy,https://cdn.sofifa.org/flags/27.png,84,84,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤4.2M,¤95K,1740,Right,3,3,2,Low/ High,Normal,Yes,CB,15,"Jan 1, 2011",,2019,6'2,192lbs,52+3,52+3,52+3,54+3,55+3,55+3,55+3,54+3,57+3,57+3,57+3,57+3,63+3,63+3,63+3,57+3,71+3,75+3,75+3,75+3,71+3,74+3,82+3,82+3,82+3,74+3,40,21,72,65,35,64,50,31,65,65,61,77,52,80,64,54,81,53,83,39,66,90,28,62,60,88,94,90,82,4,2,4,2,4,¤6.9M
243,212404,F. Bernardeschi,24,https://cdn.sofifa.org/players/4/19/212404.png,Italy,https://cdn.sofifa.org/flags/27.png,82,87,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤29.5M,¤110K,2096,Left,2,3,5,High/ High,Lean,Yes,RM,20,"Jul 24, 2017",,2022,6'1,170lbs,75+2,75+2,75+2,81+2,80+2,80+2,80+2,81+2,81+2,81+2,81+2,81+2,78+2,78+2,78+2,81+2,71+2,68+2,68+2,68+2,71+2,68+2,59+2,59+2,59+2,68+2,82,70,50,82,74,86,82,80,72,87,83,83,85,80,79,82,49,80,63,82,52,66,78,80,72,83,65,46,42,14,15,10,13,12,¤50.9M
245,211320,D. Rugani,23,https://cdn.sofifa.org/players/4/19/211320.png,Italy,https://cdn.sofifa.org/flags/27.png,82,86,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤24.5M,¤95K,1705,Right,2,3,2,Low/ Medium,Lean,Yes,CB,15,"Feb 4, 2015",,2021,6'3,185lbs,55+2,55+2,55+2,54+2,55+2,55+2,55+2,54+2,56+2,56+2,56+2,56+2,61+2,61+2,61+2,56+2,70+2,74+2,74+2,74+2,70+2,73+2,80+2,80+2,80+2,73+2,40,33,80,65,35,64,45,25,59,65,56,67,59,78,53,58,81,67,79,39,72,86,28,50,36,70,87,86,82,5,10,5,5,5,¤42.3M
247,210514,João Cancelo,24,https://cdn.sofifa.org/players/4/19/210514.png,Portugal,https://cdn.sofifa.org/flags/38.png,82,88,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤25.5M,¤95K,2174,Right,2,3,4,High/ Medium,Lean,No,RB,2,"Jul 1, 2018",,2023,6'0,163lbs,74+2,74+2,74+2,79+2,78+2,78+2,78+2,79+2,78+2,78+2,78+2,81+2,78+2,78+2,78+2,81+2,82+2,78+2,78+2,78+2,82+2,81+2,75+2,75+2,75+2,81+2,85,58,64,78,62,84,83,69,75,83,91,91,78,82,74,80,73,89,66,66,73,77,78,74,46,77,79,79,79,6,9,15,14,14,¤47.2M
448,208333,E. Can,24,https://cdn.sofifa.org/players/4/19/208333.png,Germany,https://cdn.sofifa.org/flags/21.png,80,85,Juventus,https://cdn.sofifa.org/teams/2/light/45.png,¤19.5M,¤91K,2153,Right,2,4,3,High/ High,Normal,Yes,CM,23,"Jul 1, 2018",,2022,6'0,181lbs,73+2,73+2,73+2,74+2,75+2,75+2,75+2,74+2,76+2,76+2,76+2,75+2,79+2,79+2,79+2,75+2,78+2,81+2,81+2,81+2,78+2,78+2,80+2,80+2,80+2,78+2,70,60,72,81,61,76,68,65,80,81,69,73,73,78,71,81,76,85,83,75,85,81,73,79,60,74,82,81,80,14,8,8,13,11,¤33.6M
