Nationality,Number_Of_Players
England,1662
Germany,1198
Spain,1072
Argentina,937
France,914
Brazil,827
Italy,702
Colombia,618
Japan,478
Netherlands,453
Sweden,397
China PR,392
Chile,391
Republic of Ireland,368
Mexico,366
United States,353
Poland,350
Norway,341
Saudi Arabia,340
Denmark,336
Korea Republic,335
Portugal,322
Turkey,303
Austria,298
Scotland,286
Belgium,260
Australia,236
Switzerland,220
Uruguay,149
Senegal,130
Wales,129
Croatia,126
Serbia,126
Nigeria,121
Ghana,114
Greece,102
Ivory Coast,100
Czech Republic,100
Cameroon,90
Morocco,85
Paraguay,85
Northern Ireland,80
Russia,79
Ukraine,73
South Africa,71
Finland,67
Venezuela,67
Canada,64
Bosnia Herzegovina,61
Algeria,60
Slovenia,55
Slovakia,54
Romania,54
DR Congo,52
Iceland,47
New Zealand,44
Mali,43
Ecuador,43
Albania,40
Hungary,38
Peru,37
Kosovo,33
Tunisia,32
Bulgaria,32
Jamaica,32
Guinea,31
Egypt,31
India,30
Costa Rica,30
Bolivia,30
Georgia,26
Congo,25
Montenegro,23
FYR Macedonia,20
Cape Verde,19
Iran,17
Burkina Faso,16
Honduras,16
Gambia,15
Panama,15
Benin,15
Angola,15
Gabon,15
Guinea Bissau,15
Curacao,14
Israel,14
Estonia,13
Zimbabwe,13
Madagascar,12
Togo,12
Kenya,10
Haiti,10
Armenia,10
Syria,9
Zambia,9
Luxembourg,8
Cyprus,8
Lithuania,8
Iraq,7
Faroe Islands,6
Latvia,6
Comoros,6
Uganda,6
Sierra Leone,6
Thailand,5
Azerbaijan,5
Equatorial Guinea,5
El Salvador,5
Moldova,5
Trinidad & Tobago,4
Kazakhstan,4
Libya,4
Antigua & Barbuda,4
Montserrat,4
Korea DPR,4
Belarus,4
Cuba,4
Mauritania,4
Mozambique,4
Suriname,4
Afghanistan,4
Tanzania,3
Sudan,3
Guatemala,3
Guyana,3
Liechtenstein,3
St Kitts Nevis,3
Burundi,3
Niger,3
Barbados,3
Central African Rep.,3
Namibia,3
Uzbekistan,2
Bermuda,2
Hong Kong,2
Eritrea,2
Philippines,2
Chad,2
Nicaragua,2
Dominican Republic,2
United Arab Emirates,1
Belize,1
Lebanon,1
Puerto Rico,1
Qatar,1
Palestine,1
St Lucia,1
Grenada,1
Andorra,1
Jordan,1
South Sudan,1
Mauritius,1
Liberia,1
Botswana,1
Indonesia,1
Ethiopia,1
Fiji,1
São Tomé & Príncipe,1
Malta,1
Kuwait,1
Rwanda,1
New Caledonia,1
Oman,1
Guam,1
