Date,HomeTeam,AwayTeam
18/08/2018,Chievo,Juventus
18/08/2018,Lazio,Napoli
19/08/2018,Bologna,Spal
19/08/2018,Empoli,Cagliari
19/08/2018,Parma,Udinese
19/08/2018,Sassuolo,Inter
19/08/2018,Torino,Roma
20/08/2018,Atalanta,Frosinone
25/08/2018,Juventus,Lazio
25/08/2018,Napoli,Milan
26/08/2018,Cagliari,Sassuolo
26/08/2018,Fiorentina,Chievo
26/08/2018,Frosinone,Bologna
26/08/2018,Genoa,Empoli
26/08/2018,Inter,Torino
26/08/2018,Spal,Parma
26/08/2018,Udinese,Sampdoria
27/08/2018,Roma,Atalanta
31/08/2018,Milan,Roma
01/09/2018,Bologna,Inter
01/09/2018,Parma,Juventus
02/09/2018,Atalanta,Cagliari
02/09/2018,Chievo,Empoli
02/09/2018,Fiorentina,Udinese
02/09/2018,Lazio,Frosinone
02/09/2018,Sampdoria,Napoli
02/09/2018,Sassuolo,Genoa
02/09/2018,Torino,Spal
15/09/2018,Frosinone,Sampdoria
15/09/2018,Inter,Parma
15/09/2018,Napoli,Fiorentina
16/09/2018,Cagliari,Milan
16/09/2018,Empoli,Lazio
16/09/2018,Genoa,Bologna
16/09/2018,Juventus,Sassuolo
16/09/2018,Roma,Chievo
16/09/2018,Udinese,Torino
17/09/2018,Spal,Atalanta
19/09/2018,Sampdoria,Fiorentina
21/09/2018,Sassuolo,Empoli
22/09/2018,Fiorentina,Spal
22/09/2018,Parma,Cagliari
22/09/2018,Sampdoria,Inter
23/09/2018,Bologna,Roma
23/09/2018,Chievo,Udinese
23/09/2018,Frosinone,Juventus
23/09/2018,Lazio,Genoa
23/09/2018,Milan,Atalanta
23/09/2018,Torino,Napoli
25/09/2018,Inter,Fiorentina
26/09/2018,Atalanta,Torino
26/09/2018,Cagliari,Sampdoria
26/09/2018,Genoa,Chievo
26/09/2018,Juventus,Bologna
26/09/2018,Napoli,Parma
26/09/2018,Roma,Frosinone
26/09/2018,Udinese,Lazio
27/09/2018,Empoli,Milan
27/09/2018,Spal,Sassuolo
29/09/2018,Inter,Cagliari
29/09/2018,Juventus,Napoli
29/09/2018,Roma,Lazio
30/09/2018,Bologna,Udinese
30/09/2018,Chievo,Torino
30/09/2018,Fiorentina,Atalanta
30/09/2018,Frosinone,Genoa
30/09/2018,Parma,Empoli
30/09/2018,Sassuolo,Milan
01/10/2018,Sampdoria,Spal
05/10/2018,Torino,Frosinone
06/10/2018,Cagliari,Bologna
06/10/2018,Empoli,Roma
06/10/2018,Udinese,Juventus
07/10/2018,Atalanta,Sampdoria
07/10/2018,Genoa,Parma
07/10/2018,Lazio,Fiorentina
07/10/2018,Milan,Chievo
07/10/2018,Napoli,Sassuolo
07/10/2018,Spal,Inter
20/10/2018,Juventus,Genoa
20/10/2018,Roma,Spal
20/10/2018,Udinese,Napoli
21/10/2018,Bologna,Torino
21/10/2018,Chievo,Atalanta
21/10/2018,Fiorentina,Cagliari
21/10/2018,Frosinone,Empoli
21/10/2018,Inter,Milan
21/10/2018,Parma,Lazio
22/10/2018,Sampdoria,Sassuolo
27/10/2018,Atalanta,Parma
27/10/2018,Empoli,Juventus
27/10/2018,Torino,Fiorentina
28/10/2018,Cagliari,Chievo
28/10/2018,Genoa,Udinese
28/10/2018,Milan,Sampdoria
28/10/2018,Napoli,Roma
28/10/2018,Sassuolo,Bologna
28/10/2018,Spal,Frosinone
29/10/2018,Lazio,Inter
31/10/2018,Milan,Genoa
02/11/2018,Napoli,Empoli
